Season,Characters
Season_3,Danny Trejo as Tortuga
Season_3,Mark Margolis as Hector Salamanca
Season_3,Christopher Cousins as Ted Beneke
Season_3,Julie Dretzin as Pamela Orbic
Season_3,Javier Grajeda as Juan Bolsa
Season_3,Steven Michael Quezada as Steven Gomez
Season_3,Stoney Westmoreland as Officer Saxton
Season_3,Luis Moncada and Daniel Moncada as The Cousins
Season_3,Caleb Jones as Louis
Season_3,James Espinoza as Beto
Season_3,Daniel Champine as Rookie Partner
Season_3,Shari Rhodes as Bingo Lady
Season_3,Krysten Ritter as Jane Margolis (voice only)
Season_3,Karen M. Hudson as Office Worker
Season_3,Keith Jardine as Bar Fighter
Season_3,Gary Ray Stearns as Skell
Season_3,Bryan Cranston as Walter White
Season_3,Anna Gunn as Skyler White
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Dean Norris as Hank Schrader
Season_3,Betsy Brandt as Marie Schrader
Season_3,RJ Mitte as Walter White Jr.
Season_3,Bob Odenkirk as Saul Goodman
Season_3,Giancarlo Esposito as Gustavo Fring
Season_3,Jonathan Banks as Mike Ehrmantraut
Season_3,Christopher Cousins as Ted Beneke
Season_3,Steven Michael Quezada as Steven Gomez
Season_3,Carmen Serano as Principal Carmen Molina
Season_3,Michael Shamus Wiles as ASAC George Merkert
Season_3,Jolene Purdy as Cara
Season_3,Jeremiah Bitsui as Victor
Season_3,Catherine Haun as Receptionist
Season_3,Mark Hanson as Burnout
Season_3,Parker Sisty as Saul's Client
Season_3,Karen M. Hudson as Office Worker
Season_3,Bryan Cranston as Walter White
Season_3,Anna Gunn as Skyler White
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Dean Norris as Hank Schrader
Season_3,Betsy Brandt as Marie Schrader
Season_3,RJ Mitte as Walter White Jr.
Season_3,Bob Odenkirk as Saul Goodman
Season_3,Giancarlo Esposito as Gustavo Fring
Season_3,Christopher Cousins as Ted Beneke
Season_3,Steven Michael Quezada as Steven Gomez
Season_3,Julie Dretzin as Pamela Orbic
Season_3,Carole Gutierrez as Mrs. Ortega
Season_3,Charles Baker as Skinny Pete
Season_3,Rodney Rush as Combo
Season_3,Mary Sue Evans as Janice
Season_3,Amanda Schofield as Waitress
Season_3,Erin Elliott as Stripper #1
Season_3,Portia Cline as Stripper #2
Season_3,Michael McCormick as Pa Kettle
Season_3,Kathy Rose Center as Ma Kettle
Season_3,Bryan Cranston as Walter White
Season_3,Anna Gunn as Skyler White
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Dean Norris as Hank Schrader
Season_3,Betsy Brandt as Marie Schrader
Season_3,RJ Mitte as Walter White Jr.
Season_3,Bob Odenkirk as Saul Goodman
Season_3,Giancarlo Esposito as Gustavo Fring
Season_3,David Costabile as Gale Boetticher
Season_3,Matt Jones as Badger
Season_3,Tom Kiesche as Clovis
Season_3,Larry Hankin as Old Joe
Season_3,Luis Moncada and Daniel Moncada as The Cousins
Season_3,Charles Baker as Skinny Pete
Season_3,Tina Parker as Francesca
Season_3,Ashley Kajiki as Pollos Manager
Season_3,Jose Avila as Deputy Kee
Season_3,Frank Bond as Realtor
Season_3,Jui Hise as Mother
Season_3,Trina Siopy as Nurse
Season_3,John Augustini as Tim
Season_3,Bryan Cranston as Walter White
Season_3,Anna Gunn as Skyler White
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Dean Norris as Hank Schrader
Season_3,Betsy Brandt as Marie Schrader
Season_3,RJ Mitte as Walter White Jr. (credit only)
Season_3,Bob Odenkirk as Saul Goodman
Season_3,Mark Margolis as Hector Salamanca
Season_3,David Costabile as Gale Boetticher
Season_3,Michael Shamus Wiles as ASAC George Merkert
Season_3,Nate Mooney as Arms Dealer
Season_3,Luis Moncada and Daniel Moncada as The Cousins
Season_3,Ruben Munoz-Soto as Young Marco
Season_3,Victor Munoz-Soto as Young Leonel
Season_3,Michael Showers as Union Rep
Season_3,Matthew Feight as Preppy Shopper
Season_3,Mark Sivertsen as ABQ Detective #1
Season_3,Chris Ranney as ABQ Detective #2
Season_3,Steve Cormier as OPR Official #1
Season_3,Wendy Kostora as Screaming Shopper
Season_3,Bryan Cranston as Walter White
Season_3,Anna Gunn as Skyler White
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Dean Norris as Hank Schrader
Season_3,Betsy Brandt as Marie Schrader
Season_3,RJ Mitte as Walter White Jr.
Season_3,Giancarlo Esposito as Gustavo Fring
Season_3,Jonathan Banks as Mike Ehrmantraut
Season_3,David Costabile as Gale Boetticher
Season_3,Steven Michael Quezada as Steven Gomez
Season_3,Michael Shamus Wiles as ASAC George Merkert
Season_3,Javier Grajeda as Juan Bolsa
Season_3,Michael Bryan French as Doctor
