Season,Characters
Season_3,Donald Margolis
Season_3,Group Leader
Season_3,Pamela Orbic
Season_3,Principal Carmen Molina
Season_3,The Cousins
Season_3,Barry
Season_3,Sad Faced Girl
Season_3,Emotional Woman
Season_3,Wide Eyed Boy
Season_3,Friendly Guy
Season_3,Daughter
Season_3,Father
Season_3,Mother
Season_3,Old Crawler
Season_3,Anchor
Season_3,Anchor
Season_3,Anchor
Season_3,Anchor
Season_3,Teacher
Season_3,Rehab Patient
Season_3,Teacher
Season_3,High School Student
Season_3,Walter White
Season_3,Skyler White
Season_3,Jesse Pinkman
Season_3,Hank Schrader
Season_3,Marie Schrader
Season_3,Walter White Jr.
Season_3,Gustavo Fring
Season_3,Saul Goodman
Season_3,Mike Ehrmantraut
Season_3,Mrs. Pinkman
Season_3,Hector Salamanca
Season_3,Ted Beneke
Season_3,Steven Gomez
Season_3,Mr. Pinkman
Season_3,Mr. Gardiner
Season_3,The Cousins
Season_3,Victor
Season_3,Little Girl
Season_3,Cop
Season_3,Mall Shopper
Season_3,Walter White
Season_3,Skyler White
Season_3,Jesse Pinkman
Season_3,Marie Schrader
Season_3,Hank Schrader
Season_3,Walter White Jr.
Season_3,Saul Goodman
Season_3,Gustavo Fring
Season_3,Mike Ehrmantraut
Season_3,Tortuga
Season_3,Hector Salamanca
Season_3,Ted Beneke
Season_3,Pamela Orbic
Season_3,Juan Bolsa
Season_3,Steven Gomez
Season_3,Officer Saxton
Season_3,The Cousins
Season_3,Louis
Season_3,Beto
Season_3,Rookie Partner
Season_3,Bingo Lady
Season_3,Jane Margolis
Season_3,Office Worker
Season_3,Bar Fighter
Season_3,Skell
Season_3,Walter White
Season_3,Skyler White
Season_3,Jesse Pinkman
Season_3,Hank Schrader
Season_3,Marie Schrader
Season_3,Walter White Jr.
Season_3,Saul Goodman
Season_3,Gustavo Fring
Season_3,Mike Ehrmantraut
Season_3,Ted Beneke
Season_3,Steven Gomez
Season_3,Principal Carmen Molina
Season_3,ASAC George Merkert
Season_3,Cara
Season_3,Victor
Season_3,Receptionist
Season_3,Burnout
Season_3,Saul's Client
Season_3,Office Worker
Season_3,Walter White
Season_3,Skyler White
Season_3,Jesse Pinkman
Season_3,Hank Schrader
Season_3,Marie Schrader
Season_3,Walter White Jr.
Season_3,Saul Goodman
Season_3,Gustavo Fring
Season_3,Ted Beneke
Season_3,Steven Gomez
Season_3,Pamela Orbic
Season_3,Mrs. Ortega
Season_3,Skinny Pete
Season_3,Combo
Season_3,Janice
Season_3,Waitress
Season_3,Stripper
Season_3,Stripper
Season_3,Pa Kettle
Season_3,Ma Kettle
Season_3,Walter White
Season_3,Skyler White
Season_3,Jesse Pinkman
Season_3,Hank Schrader
Season_3,Marie Schrader
Season_3,Walter White Jr.
Season_3,Saul Goodman
Season_3,Gustavo Fring
Season_3,Gale Boetticher
Season_3,Badger
Season_3,Clovis
Season_3,Old Joe
Season_3,The Cousins
Season_3,Skinny Pete
Season_3,Francesca
Season_3,Pollos Manager
Season_3,Deputy Kee
Season_3,Realtor
Season_3,Mother
Season_3,Nurse
Season_3,Tim
Season_3,Walter White
Season_3,Skyler White
Season_3,Jesse Pinkman
Season_3,Hank Schrader
Season_3,Marie Schrader
Season_3,Walter White Jr.
Season_3,Saul Goodman
Season_3,Hector Salamanca
Season_3,Gale Boetticher
Season_3,ASAC George Merkert
Season_3,Arms Dealer
Season_3,The Cousins
Season_3,Young Marco
Season_3,Young Leonel
Season_3,Union Rep
Season_3,Preppy Shopper
Season_3,ABQ Detective
Season_3,ABQ Detective
Season_3,OPR Official
Season_3,Screaming Shopper
Season_3,Walter White
Season_3,Skyler White
Season_3,Jesse Pinkman
Season_3,Hank Schrader
Season_3,Marie Schrader
Season_3,Walter White Jr.
Season_3,Gustavo Fring
Season_3,Mike Ehrmantraut
Season_3,Gale Boetticher
Season_3,Steven Gomez
Season_3,ASAC George Merkert
Season_3,Juan Bolsa
Season_3,Doctor
Season_3,Leonel Salamanca
Season_3,Skinny Pete
Season_3,Victor
Season_3,Orderly
Season_3,ER Doctor
Season_3,ER Doctor
Season_3,EMT
Season_3,Lead Doctor
Season_3,APD Officer
Season_3,Friendly Agent
Season_3,Doctor
Season_3,Tim
Season_3,Nurse
Season_3,The Assassin
Season_3,DEA
Season_3,Walter White
Season_3,Skyler White
Season_3,Jesse Pinkman
Season_3,Hank Schrader
Season_3,Marie Schrader
Season_3,Walter White Jr.
Season_3,Saul Goodman
Season_3,Gustavo Fring
Season_3,Ted Beneke
Season_3,Steven Gomez
Season_3,Badger
Season_3,Group Leader
Season_3,Doctor
Season_3,Skinny Pete
Season_3,Victor
Season_3,Hospital Administrator
Season_3,Commercial Narrator
Season_3,Restaurant Patron
Season_3,Rehab Group Girl
Season_3,Walter White
Season_3,Skyler White
